10000
30	128	3	100	12000	0.000015
128	46	3	100	24000	0.000058
128	30	3	100	20000	0.000059
32	128	3	100	84000	0.000062
14	128	3	100	40000	0.000071
128	46	3	100	44000	0.000079
46	128	3	100	12000	0.000079
0	128	3	100	92000	0.000089
128	16	3	100	40000	0.00009
62	128	3	100	16000	0.000095
128	48	3	100	92000	0.000097
128	112	3	100	24000	0.000098
62	128	3	100	32000	0.000111
128	14	3	100	60000	0.000113
16	128	3	100	8000	0.000119
128	64	3	100	84000	0.000131
128	62	3	100	36000	0.000134
30	128	3	100	68000	0.000151
32	128	3	100	32000	0.000158
128	14	3	100	80000	0.000164
128	14	3	100	16000	0.000168
128	0	3	100	12000	0.000169
48	128	3	100	20000	0.000178
16	128	3	100	156000	0.00021
0	128	3	100	24000	0.000211
128	14	3	100	116000	0.000223
128	62	3	100	84000	0.000229
128	64	3	100	8000	0.00023
30	128	3	100	20000	0.000231
128	0	3	100	16000	0.000241
48	128	3	100	20000	0.000244
128	62	3	100	40000	0.000252
30	128	3	100	32000	0.000278
128	14	3	100	32000	0.000281
128	46	3	100	120000	0.0003
128	112	3	100	28000	0.000309
48	128	3	100	16000	0.000319
128	112	3	100	36000	0.000323
128	0	3	100	168000	0.000342
128	46	3	100	28000	0.0004
32	128	3	100	60000	0.000407
128	30	3	100	128000	0.000417
48	128	3	100	36000	0.000435
128	46	3	100	48000	0.000445
64	128	3	100	16000	0.000454
16	128	3	100	540000	0.000487
128	64	3	100	144000	0.000491
62	128	3	100	4000	0.000495
128	112	3	100	20000	0.000498
128	48	3	100	4000	0.000499
16	128	3	100	56000	0.000521
128	64	3	100	364000	0.000532
62	128	3	100	8000	0.000557
128	46	3	100	80000	0.000561
128	14	3	100	52000	0.000567
128	16	3	100	16000	0.00057
62	128	3	100	20000	0.000584
16	128	3	100	484000	0.000605
64	128	3	100	4000	0.000607
128	16	3	100	28000	0.000614
62	128	3	100	28000	0.000616
64	128	3	100	16000	0.000639
128	46	3	100	88000	0.000642
128	46	3	100	64000	0.000657
128	48	3	100	4000	0.000657
32	128	3	100	20000	0.000671
128	62	3	100	236000	0.000675
128	48	3	100	12000	0.000676
48	128	3	100	8000	0.000679
128	62	3	100	80000	0.000682
30	128	3	100	32000	0.000692
128	112	3	100	144000	0.000693
128	62	3	100	24000	0.000694
128	62	3	100	36000	0.000697
128	48	3	100	64000	0.000702
128	48	3	100	68000	0.000705
128	64	3	100	12000	0.000706
128	46	3	100	56000	0.000723
16	128	3	100	84000	0.00073
128	48	3	100	112000	0.000734
0	128	3	100	12000	0.000744
0	128	3	100	24000	0.000753
128	62	3	100	24000	0.000756
32	128	3	100	12000	0.000761
128	30	3	100	4000	0.000781
128	32	3	100	116000	0.000789
30	128	3	100	24000	0.000797
128	14	3	100	176000	0.000807
128	46	3	100	272000	0.000835
128	46	3	100	44000	0.000839
62	128	3	100	76000	0.000854
128	0	3	100	28000	0.000874
0	128	3	100	16000	0.000877
128	0	3	100	4000	0.000882
16	128	3	100	96000	0.000884
128	32	3	100	212000	0.000912
128	46	3	100	8000	0.000913
128	32	3	100	80000	0.000927
128	112	3	100	8000	0.000948
128	48	3	100	20000	0.000948
128	32	3	100	56000	0.000963
128	64	3	100	8000	0.000964
32	128	3	100	136000	0.000969
128	48	3	100	48000	0.000971
128	64	3	100	36000	0.000971
128	48	3	100	60000	0.00098
48	128	3	100	40000	0.000987
64	128	3	100	48000	0.000994
128	64	3	100	24000	0.001001
128	112	3	100	36000	0.001004
128	0	3	100	8000	0.001007
112	128	3	100	928000	0.001015
32	128	3	100	28000	0.001017
128	48	3	100	60000	0.00102
